anio,estado,clave_siinah,recinto,enero_nac,enero_ext,febrero_nac,febrero_ext,marzo_nac,marzo_ext,abril_nac,abril_ext,mayo_nac,mayo_ext,junio_nac,junio_ext,julio_nac,julio_ext,agosto_nac,agosto_ext,septiembre_nac,septiembre_ext,octubre_nac,octubre_ext,noviembre_nac,noviembre_ext,diciembre_nac,diciembre_ext
2025,Morelos,2301000,Museo Regional de los Pueblos de Morelos,8330,793,266,0,8190,658,8679,1153,7147,689,6386,662,9646,1120,10271,818,5794,420,6725,594,4160,3395,6849,852
2025,Nayarit,2301100,Museo Regional de Nayarit,506,28,494,48,714,37,841,22,609,7,879,19,1027,17,1020,10,644,13,2645,14,742,23,447,30
2025,Nayarit,2402900,Museo Local de Antropología e Historia de Compostela,184,48,269,46,387,45,362,26,205,0,146,8,198,11,229,2,109,3,123,3,420,23,61,10
2025,Nuevo León,2301200,"Museo Regional de Nuevo León ""Ex Obispado""",0,0,0,0,492,28,178,0,50,0,782,14,1238,34,1447,38,2501,76,2145,87,3094,72,1720,31
2025,Oaxaca,2301300,Museo de las Culturas de Oaxaca,11247,7147,9092,6988,11032,6379,13531,4970,10938,3446,9855,3094,18410,4032,14985,4255,8979,2329,11584,5800,12304,8006,13299,5536
2025,Oaxaca,2600500,Museo Casa de Juárez,1504,264,911,231,1164,151,1346,127,895,69,757,68,1918,126,1315,112,671,49,1022,106,780,137,1032,102
2025,Oaxaca,2403000,Sala Homenaje a Juárez,243,13,805,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,Oaxaca,4100005,Ex-Convento de Coixtlahuaca,429,18,211,8,230,7,501,8,476,6,656,2,696,6,308,4,250,12,252,8,337,6,415,6
2025,Oaxaca,4100006,Ex-Convento de Cuilapan,1999,135,1715,105,1996,123,2454,91,1480,42,1427,38,3488,94,2435,115,1560,68,1641,158,1600,157,1627,114
2025,Oaxaca,4100011,Ex-Convento de Santo Domingo Yanhuitlán,968,24,547,60,1043,28,1858,17,1484,25,648,3,1442,51,1457,24,720,6,1074,38,847,31,1073,51
2025,Oaxaca,4100012,Ex-Convento de Teposcolula,514,6,310,14,507,5,472,4,546,31,244,1,596,19,909,4,220,2,407,6,379,7,600,14
2025,Puebla,2301400,Museo Regional de Puebla,1924,17,2166,24,2014,25,1263,24,1917,15,2056,26,2702,38,2489,32,1896,15,2155,19,1767,39,1796,16
2025,Puebla,2403300,Museo de la No Intervención Fuerte de Loreto,3255,158,3375,244,6096,222,5606,169,3561,204,1939,74,5317,252,5315,164,2032,77,0,0,0,0,1938,0
2025,Puebla,2403100,Museo de Arte Religioso de Santa Mónica,1045,30,1129,40,1712,20,1723,22,1597,50,1199,48,1834,24,1811,43,1135,10,1919,26,1767,69,931,18
2025,Puebla,2403200,Museo de la Evangelización,1164,0,1757,0,1513,0,1320,0,1190,0,1128,0,1305,0,1625,0,1125,0,1326,0,1288,0,1234,0
2025,Puebla,2403400,Museo del Valle de Tehuacán,433,0,456,0,600,0,819,0,459,0,481,0,392,0,660,0,324,0,576,0,634,0,319,0
2025,Puebla,4100003,Casa del Dean,410,55,367,72,447,0,529,17,711,36,600,30,438,39,400,47,309,22,268,34,350,37,121,20
2025,Puebla,4100017,Casa de la Palestina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,Puebla,4100013,Ex-Convento Franciscano de Tecalli,1878,22,1754,38,2110,13,1776,14,1929,12,1968,16,2621,7,2675,7,824,5,2171,19,2000,17,1424,0
2025,Puebla,4100009,Ex-Convento de San Francisco Huaquechula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,Puebla,4100010,Ex-Convento de San Francisco Tecamachalco,328,0,319,0,825,0,200,0,73,0,563,0,397,0,493,0,115,0,662,0,586,0,389,0
2025,Puebla,4100014,Fuerte de Guadalupe,0,0,0,0,0,0,0,0,0,0,1361,86,2430,41,2726,57,1346,29,1395,47,1409,33,3478,87
2025,Puebla,4100015,Museo de Tehuacán el Viejo con zona arqueológica,1470,22,979,21,885,26,1383,17,768,10,1171,24,1498,23,1300,10,770,10,600,35,853,19,961,57
2025,Puebla,4100016,Museo de sitio de Teteles del Santo Nombre con zona arqueológica,763,4,239,0,388,0,489,1,321,7,435,2,712,0,546,1,309,0,289,0,367,0,421,1
2025,Querétaro,2301500,Museo Regional de Querétaro,4067,272,4234,353,5709,361,5972,273,6577,243,6444,213,7093,303,6459,246,5152,204,7332,336,5636,335,4821,296
2025,Quintana Roo,2403500,Museo Maya de Cancún con Z. A,2628,2595,2267,2354,2649,2475,3136,2063,2900,1472,3076,1388,2567,1643,2687,1553,2003,988,2076,1286,2867,1982,2207,2376
2025,Quintana Roo,0,Museo de la Costa Oriental,7452,3461,8562,5749,6942,3625,6942,3625,6804,2581,5283,2020,10214,3407,10276,3472,6198,2194,6711,2921,6635,3704,7325,3697
2025,San Luis Potosí,2301600,Museo Regional Potosino,996,112,1084,107,1221,106,1580,57,2031,58,1442,74,1668,115,1504,114,1078,73,1132,88,1150,127,904,62
2025,Sinaloa,2403600,Museo Arqueológico de Mazatlán,625,99,801,298,711,169,771,77,1375,35,637,31,394,18,918,12,967,18,1053,24,705,46,502,74
2025,Sonora,2301700,Museo Regional de Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,0,1553,15,406,5,855,63
2025,Tabasco,2403700,Museo de Oxolotán,0,0,0,0,309,0,750,0,379,0,234,0,521,0,712,0,421,0,0,0,395,0,616,0
2025,Tamaulipas,2403800,Museo de la Cultura Huasteca,186,3,466,0,652,0,337,0,469,0,387,1,238,3,722,4,218,3,263,2,326,1,486,1
2025,Tlaxcala,2301800,Museo Regional de Tlaxcala,1922,27,2285,39,2446,37,2097,24,1429,11,1139,10,1893,33,2285,42,1453,16,1560,8,1804,22,1237,17
2025,Veracruz,2404200,Museo Local Tuxteco,696,14,739,22,746,12,2149,11,698,21,504,13,1774,21,743,29,649,12,385,9,716,16,499,13
2025,Veracruz,2403900,Museo Baluarte de Santiago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,Veracruz,2404100,Museo del Fuerte de San Juan de Ulúa,14200,232,13951,295,15301,174,32319,234,22508,178,16281,220,23541,213,30960,148,13095,172,10611,167,13378,273,15011,303
2025,Veracruz,2502900,Museo de Sitio de El Zapotal,103,0,100,3,151,0,153,0,110,0,108,0,106,0,113,0,48,0,62,0,204,0,84,0
2025,Veracruz,2503200,Museo de Sitio de Tres Zapotes con Zona Arqueológica,247,7,139,6,244,2,371,5,287,13,256,11,312,0,260,7,252,2,150,0,241,18,350,16
2025,Veracruz,2404000,Museo de Palmillas,92,0,12,0,251,0,63,0,5,0,69,0,31,0,77,0,18,0,20,0,8,0,18,0
2025,Yucatán,2301900,"Museo Regional de Yucatán ""Palacio Cantón""",4754,2033,3907,1967,3952,1568,4779,1317,4084,943,4506,770,5091,944,4613,807,3372,680,3712,896,3990,1924,5500,2232
2025,Yucatán,2404300,"Pinacoteca del Estado ""Juan Gamboa Guzmán""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,Yucatán,0,Gran Museo de Chichén Itzá,392,310,442,229,532,324,389,208,330,173,258,161,384,174,523,286,288,75,409,217,684,472,461,399
2025,Yucatán,4100017,Museo de Sitio Ateneo Peninsular,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2188,339,2169,452,2305,386
2025,Zacatecas,2302000,Museo de Guadalupe,1163,52,1576,23,2726,44,2179,36,2032,38,1412,65,2063,110,2090,74,2442,64,2361,70,1947,36,1650,83
2024,Aguascalientes,2300100,Museo Regional de Historia de Aguascalientes,1193,23,1497,13,1860,21,3618,39,2329,11,1539,17,1441,46,1408,31,1328,18,2166,39,1968,43,1363,49
2024,Baja California,2400100,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",639,143,617,167,1010,156,816,139,962,183,801,225,1423,437,856,266,1428,0,4830,0,1792,0,1096,506
2024,Baja California Sur,2300200,Museo Regional de Antropología e Historia de Baja California Sur,1052,776,1204,656,2478,466,2533,731,937,326,2594,176,3006,366,1363,147,1262,81,1507,214,2469,466,1541,863
2024,Baja California Sur,2400200,Museo de Las Misiones Jesuíticas,833,301,847,322,458,73,1154,493,1154,493,294,64,1224,81,660,40,383,11,556,375,613,762,702,472
2024,Baja California Sur,2400300,Museo de las Pinturas Rupestres de San Ignacio,16,0,177,0,34,0,0,0,69,0,20,0,0,0,0,0,69,0,27,0,0,0,0,0
2024,Baja California Sur,4100016,Misión de San Francisco Javier,1486,663,1120,0,904,224,1250,110,406,107,960,167,1382,302,1335,154,516,176,698,372,823,838,884,636
2024,Campeche,2400500,"Museo de Arquitectura Maya, Baluarte de la Soledad",1225,878,967,667,1169,639,917,373,1305,238,638,283,800,486,912,573,360,186,934,324,1402,582,2440,785
2024,Campeche,2400400,Museo de Arqueología Maya Fuerte de San Miguel,3908,604,3111,783,4267,658,2466,344,1627,211,1980,92,3520,297,3728,382,2451,84,2241,282,2778,628,4069,317
2024,Campeche,2400600,Museo de Arqueología Maya del Camino Real de Hecelchakán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Campeche,2400700,Museo de Arqueología Subacuática Fuerte de San José El Alto,2041,109,2072,98,2527,66,1636,54,1300,21,1222,21,2236,42,1657,23,1399,22,1622,48,1832,88,1542,45
2024,Chiapas,2300500,Museo Regional de Chiapas,1820,102,2450,27,2194,39,1794,16,1820,0,1148,30,2154,17,2144,19,1152,11,464,13,1594,32,1236,49
